Time,Mag_X,Mag_Y,Mag_Z,Raw_Roll,Raw_Pitch,Raw_Yaw
7615,-8.31,-36.56,47.06,1.33,-1.99,-155.2
7615,-8.31,-36.56,47.06,1.33,-1.76,-155.2
7615,-8.69,-36.69,46.31,1.33,-1.76,-155.01
7615,-8.69,-36.69,46.31,1.33,-1.76,-155.01
7615,-8.69,-36.69,46.31,1.33,-1.76,-155.01
7615,-8.69,-36.69,46.31,1.33,-1.76,-155.01
7615,-8.69,-36.69,46.31,1.33,-2.22,-155.01
7615,-9.94,-35.69,46.31,1.33,-2.22,-152.3
7615,-9.94,-35.69,46.31,1.33,-2.22,-152.3
7615,-9.94,-35.69,46.31,1.33,-2.22,-152.3
7615,-9.94,-35.69,46.31,1.33,-2.22,-152.3
7615,-9.94,-35.69,46.31,1.1,-2,-152.3
7615,-8.88,-35.88,47.13,1.1,-2,-154.05
7615,-8.88,-35.88,47.13,1.1,-2,-154.05
7615,-8.88,-35.88,47.13,1.1,-2,-154.05
7615,-8.88,-35.88,47.13,1.1,-2,-154.05
7615,-8.88,-35.88,47.13,1.11,-2,-154.05
7615,-8.63,-36.25,46.75,1.11,-2,-154.57
7615,-8.63,-36.25,46.75,1.11,-2,-154.57
7615,-8.63,-36.25,46.75,1.11,-2,-154.57
7615,-8.63,-36.25,46.75,1.11,-2,-154.57
7615,-8.63,-36.25,46.75,1.1,-1.99,-154.57
7615,-8.25,-35.81,47.25,1.1,-1.99,-154.93
7615,-8.25,-35.81,47.25,1.1,-1.99,-154.93
7615,-8.25,-35.81,47.25,1.1,-1.99,-154.93
7615,-8.25,-35.81,47.25,1.1,-1.99,-154.93
7615,-8.25,-35.81,47.25,1.33,-1.99,-154.93
7615,-9.63,-36.38,46.63,1.33,-1.99,-153.29
7615,-9.63,-36.38,46.63,1.33,-1.99,-153.29
7615,-9.63,-36.38,46.63,1.33,-1.99,-153.29
7615,-9.63,-36.38,46.63,1.33,-1.99,-153.29
7615,-9.56,-36.25,47.5,1.33,-1.99,-153.29
7615,-9.56,-36.25,47.5,1.1,-2,-153.29
7615,-9.56,-36.25,47.5,1.1,-2,-153.29
7615,-9.56,-36.25,47.5,1.1,-2,-153.29
7615,-9.56,-36.25,47.5,1.1,-2,-153.29
